"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",1967.23747741082
"2","member","Sunday",820.353762592673
"3","casual","Monday",1630.58723748938
"4","member","Monday",706.055661637543
"5","casual","Tuesday",1452.1943850205
"6","member","Tuesday",710.209718194932
"7","casual","Wednesday",1395.36158448837
"8","member","Wednesday",709.531519790072
"9","casual","Thursday",1395.72906483214
"10","member","Thursday",713.402411644911
"11","casual","Friday",1614.93515832294
"12","member","Friday",738.596872855942
"13","casual","Saturday",1941.46984345074
"14","member","Saturday",837.475670286461
